ID,Name,trio
75dfa7c69e8fe93748b4fd6ba2f1cdbedd2acf4c6da77a7ad37a76d055c1117fi0,INKs #59,https://www.trio.xyz/inscriptions/75dfa7c69e8fe93748b4fd6ba2f1cdbedd2acf4c6da77a7ad37a76d055c1117fi0
73e17fee727eb61006fb31b1c29994d062abc28bb2423fe56ff765c97a213918i0,INKs #60,https://www.trio.xyz/inscriptions/73e17fee727eb61006fb31b1c29994d062abc28bb2423fe56ff765c97a213918i0
4d2b794670d01857be844fd2eda853601ede4a946c71c72e9be135e580a3eacdi0,INKs #61,https://www.trio.xyz/inscriptions/4d2b794670d01857be844fd2eda853601ede4a946c71c72e9be135e580a3eacdi0
efd059cf9d5eab458ffa382cf968e484774e01f1b2741fea42a2104298a6f74ci0,INKs #62,https://www.trio.xyz/inscriptions/efd059cf9d5eab458ffa382cf968e484774e01f1b2741fea42a2104298a6f74ci0
3be3822e0e65e1e58ff149c2b1abf4a2ca2b5db9a6442f31a94f18c525dfc894i0,INKs #63,https://www.trio.xyz/inscriptions/3be3822e0e65e1e58ff149c2b1abf4a2ca2b5db9a6442f31a94f18c525dfc894i0
936086f4d6799e7b7d56406ffec69bb8fd0f770d6ff653a2e0cf7bf3a5489dc8i0,INKs #64,https://www.trio.xyz/inscriptions/936086f4d6799e7b7d56406ffec69bb8fd0f770d6ff653a2e0cf7bf3a5489dc8i0
addf7d905b8b5d33aa08bb1158579693785eacd87df759e16da8b8cb77df6984i0,INKs #65,https://www.trio.xyz/inscriptions/addf7d905b8b5d33aa08bb1158579693785eacd87df759e16da8b8cb77df6984i0
dfa2cfe7f9bee25660e03623c22ad4992df2c2301c2279c4fa45103a025d0f0di0,INKs #66,https://www.trio.xyz/inscriptions/dfa2cfe7f9bee25660e03623c22ad4992df2c2301c2279c4fa45103a025d0f0di0
92ee911c54652921d7c6e09cf57c26bae7429fceed0d45ef6b59d986cb5980cai0,INKs #67,https://www.trio.xyz/inscriptions/92ee911c54652921d7c6e09cf57c26bae7429fceed0d45ef6b59d986cb5980cai0
abae226ba89c998c3b277fe000e3fdc219782cab1cb5a84a8ac7e02922fe13d3i0,INKs #68,https://www.trio.xyz/inscriptions/abae226ba89c998c3b277fe000e3fdc219782cab1cb5a84a8ac7e02922fe13d3i0
d26b01167d2cb25baaec0aa5b93f0c9d52ad4206dbcbad17d3e2dd288faf418ci0,INKs #69,https://www.trio.xyz/inscriptions/d26b01167d2cb25baaec0aa5b93f0c9d52ad4206dbcbad17d3e2dd288faf418ci0
7486ac59b28f8d6bf06565636fa172613fea966f07c409fcb6dc85157f40a4e3i0,INKs #70,https://www.trio.xyz/inscriptions/7486ac59b28f8d6bf06565636fa172613fea966f07c409fcb6dc85157f40a4e3i0
b3fa5a6c8a1ccf94743fac9bd1b338de9c8d828521542871b74727ee2de9fe20i0,INKs #71,https://www.trio.xyz/inscriptions/b3fa5a6c8a1ccf94743fac9bd1b338de9c8d828521542871b74727ee2de9fe20i0
41ec62926e769e0b75e8f31febc1fd57bcd8bae1e6162eac141c7085e065854bi0,INKs #72,https://www.trio.xyz/inscriptions/41ec62926e769e0b75e8f31febc1fd57bcd8bae1e6162eac141c7085e065854bi0
8a9aa074ba4e7887c9b2ac26da1437ff60d427dd9a1d7cbeab34807c8fa4b5cbi0,INKs #73,https://www.trio.xyz/inscriptions/8a9aa074ba4e7887c9b2ac26da1437ff60d427dd9a1d7cbeab34807c8fa4b5cbi0
3b250518559cfe29ab0b4772032738013cf3229f6816a2c69f75bc876042d48fi0,INKs #74,https://www.trio.xyz/inscriptions/3b250518559cfe29ab0b4772032738013cf3229f6816a2c69f75bc876042d48fi0
a273468f3892dd407ea7c197ec0605dad0c189aad9d8cdeeecd790db64f9df67i0,INKs #75,https://www.trio.xyz/inscriptions/a273468f3892dd407ea7c197ec0605dad0c189aad9d8cdeeecd790db64f9df67i0
3feaf2ac8b5f2b915bd188b68241f19b4c4cef1713c4d2ce3be1197772aa7780i0,INKs #76,https://www.trio.xyz/inscriptions/3feaf2ac8b5f2b915bd188b68241f19b4c4cef1713c4d2ce3be1197772aa7780i0
f52e35620964e4ccba8c3ff133a08ba8f032643ade7b3a65038252416a4c3c73i0,INKs #77,https://www.trio.xyz/inscriptions/f52e35620964e4ccba8c3ff133a08ba8f032643ade7b3a65038252416a4c3c73i0
2d3fc25e6a8b2f9ff1389309c57abc44d5c84f70a4f346c0c6a63528f30f3cc2i0,INKs #78,https://www.trio.xyz/inscriptions/2d3fc25e6a8b2f9ff1389309c57abc44d5c84f70a4f346c0c6a63528f30f3cc2i0
fa9949717e991fa1b323b0ce1b6f99af057e2e216f12be4559c83c975150469ci0,INKs #79,https://www.trio.xyz/inscriptions/fa9949717e991fa1b323b0ce1b6f99af057e2e216f12be4559c83c975150469ci0
0d6481431c0e2d50dec6ee5e1ab7523df742266ef117e311fbff0237d21c8604i0,INKs #80,https://www.trio.xyz/inscriptions/0d6481431c0e2d50dec6ee5e1ab7523df742266ef117e311fbff0237d21c8604i0
5ead771d1321f58c678519580d7d9663f26aeed82a049c63adaedb7939491c6ci0,INKs #81,https://www.trio.xyz/inscriptions/5ead771d1321f58c678519580d7d9663f26aeed82a049c63adaedb7939491c6ci0
84a9ed6f509b2e1d0632dd420e2b48e7f9d13f9327e257fa859fec56c778c0d6i0,INKs #82,https://www.trio.xyz/inscriptions/84a9ed6f509b2e1d0632dd420e2b48e7f9d13f9327e257fa859fec56c778c0d6i0
fddb2fbdfbaed1e271a092ee332a6f5b644aa4bb52d3fe89d38afd9bde9ab6d4i0,INKs #83,https://www.trio.xyz/inscriptions/fddb2fbdfbaed1e271a092ee332a6f5b644aa4bb52d3fe89d38afd9bde9ab6d4i0
cdce628666731dfeba470db11dd959b968f5bc7789166fb30aac2aa63d88c0f8i0,INKs #84,https://www.trio.xyz/inscriptions/cdce628666731dfeba470db11dd959b968f5bc7789166fb30aac2aa63d88c0f8i0
e0df603e04156d95766999308dbd87d52b021cccb2ec76f82de0b9567935a5c9i0,INKs #85,https://www.trio.xyz/inscriptions/e0df603e04156d95766999308dbd87d52b021cccb2ec76f82de0b9567935a5c9i0
f30f7541329487dc91333025eeb198e135348c0acc9e2d1181fb49a646b821e2i0,INKs #86,https://www.trio.xyz/inscriptions/f30f7541329487dc91333025eeb198e135348c0acc9e2d1181fb49a646b821e2i0
95258be270d64e97041f49bf41cde9b69b1f7bb6f521ba68b7314e4dfebd9ccci0,INKs #87,https://www.trio.xyz/inscriptions/95258be270d64e97041f49bf41cde9b69b1f7bb6f521ba68b7314e4dfebd9ccci0
eed37f8ec4e1b958dd9c04ff6693113c931155d551ec26d41f5dd63765a5d6fdi0,INKs #88,https://www.trio.xyz/inscriptions/eed37f8ec4e1b958dd9c04ff6693113c931155d551ec26d41f5dd63765a5d6fdi0
60241343bc37daaee52dd76d20608240c79ec2d726cdec3d78195462bc092136i0,INKs #89,https://www.trio.xyz/inscriptions/60241343bc37daaee52dd76d20608240c79ec2d726cdec3d78195462bc092136i0
6f065771e5e40c89d90cd33228a02df007965903c5cfe5d46af9d5da91c0a9bai0,INKs #90,https://www.trio.xyz/inscriptions/6f065771e5e40c89d90cd33228a02df007965903c5cfe5d46af9d5da91c0a9bai0
0b69b5e53e74ecb01d1bcb39b4a185d18a080adf887de25f04ea06f3531c31f3i0,INKs #91,https://www.trio.xyz/inscriptions/0b69b5e53e74ecb01d1bcb39b4a185d18a080adf887de25f04ea06f3531c31f3i0
40c12388663b3a39fb7ccb255a63520f42f835f18d4df5253bc106fb55b0752fi0,INKs #92,https://www.trio.xyz/inscriptions/40c12388663b3a39fb7ccb255a63520f42f835f18d4df5253bc106fb55b0752fi0
9de0633d0afbaa02e92ce00577aec4a95d045b1915a31bdab8f7ce1d68e780f3i0,INKs #93,https://www.trio.xyz/inscriptions/9de0633d0afbaa02e92ce00577aec4a95d045b1915a31bdab8f7ce1d68e780f3i0
8219979d8b0c03e10a9b563dbffcd65112137cc7128caa1b695c3d6d058ee816i0,INKs #94,https://www.trio.xyz/inscriptions/8219979d8b0c03e10a9b563dbffcd65112137cc7128caa1b695c3d6d058ee816i0
925a640e031fca7a69b87087e734f32261dc5a922fe38e557c5170b93d6eb08fi0,INKs #95,https://www.trio.xyz/inscriptions/925a640e031fca7a69b87087e734f32261dc5a922fe38e557c5170b93d6eb08fi0
ceeb1c217db032dec62329091e506d798bb64e2e85c0b04856701093f50d14bbi0,INKs #96,https://www.trio.xyz/inscriptions/ceeb1c217db032dec62329091e506d798bb64e2e85c0b04856701093f50d14bbi0
be86e795030e017bbaa8baf0c0c4e34cf09ff5395d04fff9643a5fd228d7fe8fi0,INKs #97,https://www.trio.xyz/inscriptions/be86e795030e017bbaa8baf0c0c4e34cf09ff5395d04fff9643a5fd228d7fe8fi0
bc0dc102f9d0afb72909e62e84703417dca92e7aef951a7f14be0604c9e2888fi0,INKs #98,https://www.trio.xyz/inscriptions/bc0dc102f9d0afb72909e62e84703417dca92e7aef951a7f14be0604c9e2888fi0
68a13332c2aa900ee17cc08c77e9b901c304e19ea3f30aca63f7a50e0698780ei0,INKs #99,https://www.trio.xyz/inscriptions/68a13332c2aa900ee17cc08c77e9b901c304e19ea3f30aca63f7a50e0698780ei0
36755c7d01b227249e77b7d8dee513516d275eeb7c435c05af863d2030c1ff7ci0,INKs #100,https://www.trio.xyz/inscriptions/36755c7d01b227249e77b7d8dee513516d275eeb7c435c05af863d2030c1ff7ci0
63fa573ecc6126233b12c02c00432c661297e67dd8425eb4e1875a656600ebf0i0,INKs #101,https://www.trio.xyz/inscriptions/63fa573ecc6126233b12c02c00432c661297e67dd8425eb4e1875a656600ebf0i0
c89a34fa3ef461f637faadcc03068dac15bdf27b50c65cddf70d054a957689eai0,INKs #102,https://www.trio.xyz/inscriptions/c89a34fa3ef461f637faadcc03068dac15bdf27b50c65cddf70d054a957689eai0
2f354cc5fd08b595d4a454c87d7ab57b66b56d8b9c5af038fa79dfdc1cdc2ccbi0,INKs #103,https://www.trio.xyz/inscriptions/2f354cc5fd08b595d4a454c87d7ab57b66b56d8b9c5af038fa79dfdc1cdc2ccbi0
